"customer_id","recency","frequency","amount","rankR","rankF","rankM","score"
"548e0dbfd3cde81e4c539f35",15,12,9.81807738554224,"5",1,"1","511"
"54ab1300d4cde8a44985792c",9,18,10.7652193031289,"5",1,"1","511"
"54ac647ad3cde8f411b5888a",27,11,6.9266615737204,"5",1,"1","511"
"54b79905d2cde8755412c1a5",9,5,8.35816713099554,"5",1,"1","511"
"54c8d2acd4cde8817e85b6b6",21,12,11.631173792174,"5",1,"1","511"
"54c9bd65d2cde8a601c4800e",8,5,6.29098394562272,"5",1,"1","511"
"54ca3af6d4cde8f87d2ab7e9",27,9,4.45845004668534,"5",1,"1","511"
"54cf59f8d3cde893617d4096",35,7,6.83420670870971,"5",1,"1","511"
"54d5eb9ad3cde8272ed30f76",13,19,11.6513379844138,"5",1,"1","511"
"54dcf840d4cde80e0b455622",29,3,3.74817545798576,"5",1,"1","511"
"54df5dcfd2cde87604365510",31,2,10.632274643258,"5",1,"1","511"
"54e493aed2cde86e5829ce90",25,9,8.73647512432329,"5",1,"1","511"
"54eb4b70d2cde84e0c017282",22,2,10.6222198498923,"5",1,"1","511"
"54eb8543d4cde85d02985de6",8,18,5.23809523809524,"5",1,"1","511"
"54f317ead4cde8a92f520788",45,4,9.45168067226891,"5",1,"1","511"
"54f45b14d4cde891765207ea",27,9,10.905695611578,"5",1,"1","511"
"54fae0f3d2cde86101c617b7",21,14,9.28871548619448,"5",1,"1","511"
"54fe25f4d3cde8e01077a286",32,3,9.5300448973024,"5",1,"1","511"
"5500ad52d2cde8992596a479",8,17,6.58724666337123,"5",1,"1","511"
"5500cd14d2cde8ce7796a450",9,4,7.77310924369748,"5",1,"1","511"
"5501f43ad3cde8eb700c99e9",25,16,7.17857142857143,"5",1,"1","511"
"5502a799d4cde87e22a170ba",17,16,11.0625,"5",1,"1","511"
"5505af84d2cde8ab651b6030",32,3,5.51931390405593,"5",1,"1","511"
"55075f15d4cde843796264e0",15,13,7.90368455074337,"5",1,"1","511"
"550b7048d3cde84e254b9389",16,3,7.54106918343898,"5",1,"1","511"
"55147701d2cde8c658af0236",10,5,8.66050173697694,"5",1,"1","511"
"55184153d3cde8da08cddc52",26,4,6.79692516288466,"5",1,"1","511"
"55191055d3cde82856cddb7d",4,5,8.0661536520708,"5",1,"1","511"
"551a7c26d3cde88442cddb46",12,9,11.0709617180205,"5",1,"1","511"
"55264f0ed2cde8a248b4fb06",26,5,11.9327731092437,"5",1,"1","511"
"552910a8d3cde81f359fec08",33,3,7.19694531744827,"5",1,"1","511"
"552ce66ad2cde89758d76aa9",5,15,11.8498599439776,"5",1,"1","511"
"5530258ad3cde83f692a0ae3",34,6,10.3025210084034,"5",1,"1","511"
"5533a1f3d4cde8a10f7fc9bb",25,2,8.37359316637626,"5",1,"1","511"
"553fd5ddd3cde8612a105f7c",13,11,7.62643239113827,"5",1,"1","511"
"55475f81d4cde865630616e2",34,6,11.9960784313726,"5",1,"1","511"
"5547ce5ad4cde816630617b0",35,3,9.92156862745098,"5",1,"1","511"
"554d4059d3cde8eb0a9266a7",11,3,4.63843820414473,"5",1,"1","511"
"5555e2cbd3cde8da2898538b",29,4,6.30252100840336,"5",1,"1","511"
"5558416fd2cde8f80dda9c49",31,5,9.42201680672269,"5",1,"1","511"
"555b3b5bd4cde802716c2870",25,4,11.9932793580733,"5",1,"1","511"
"556b5d61d4cde84a6c8f4a3b",15,2,4.19747899159664,"5",1,"1","511"
"55844756d2cde87712909656",15,3,10.5042016806723,"5",1,"1","511"
"55846d5bd3cde8107cff3852",8,4,6.71363785890292,"5",1,"1","511"
"55886608d4cde8454748b602",28,10,8.82286797266214,"5",1,"1","511"
"5593bc9cd3cde8a6496a4c90",4,2,11.1260504201681,"5",1,"1","511"
"559ae940d2cde8006cc0e11f",8,4,10.4831932773109,"5",1,"1","511"
"559e5c41d3cde8f55fa36432",20,9,10.1428571428571,"5",1,"1","511"
"55ae0a73d2cde823063bd1c2",8,6,11.9915966386555,"5",1,"1","511"
"55b1084bd2cde8c7201c39cd",11,10,9.68739495798319,"5",1,"1","511"
"55b2b970d4cde8587d4f3b8a",8,9,9.26517273576097,"5",1,"1","511"
"55b3e2b3d3cde8633945eb09",19,2,8.54214190846731,"5",1,"1","511"
"55bb2d67d4cde8675c1fbd50",15,4,10.5715023610538,"5",1,"1","511"
"55bcae8dd3cde84f3d04a5c3",8,8,8.16701680672269,"5",1,"1","511"
"55bf5d2bd3cde8be6bd54964",44,7,9.2344537815126,"5",1,"1","511"
"55cbc102d4cde83c4abdd75b",35,5,10.6010924369748,"5",1,"1","511"
"55cde571d4cde87374195c56",20,2,3.75210084033613,"5",1,"1","511"
"55d4ce75d3cde85d062100c2",6,3,9.34520235158968,"5",1,"1","511"
"55d89c58d3cde8cb696435c4",39,5,10.4518537972707,"5",1,"1","511"
"55e07cc8d2cde8ee2c87cd5e",27,10,11.2596638655462,"5",1,"1","511"
"55f0a3ebd3cde8b6683f0ef8",16,5,11.3764705882353,"5",1,"1","511"
"55fbf5a0d2cde8c431336d48",9,18,11.5107845177179,"5",1,"1","511"
"560bbdffd4cde840436080b5",35,5,2.5109243697479,"5",1,"1","511"
"5620cbf8d3cde8df647b6669",8,9,10.8225957049486,"5",1,"1","511"
"5627bb37d4cde8335f7d467f",20,3,6.72268907563025,"5",1,"1","511"
"562b8acdd3cde87c54ef4b07",9,2,11.9705882352941,"5",1,"1","511"
"562ff11bd4cde8303b5c0eda",28,9,11.9065398668987,"5",1,"1","511"
"5630b920d4cde8ce66d47631",8,3,8.55159320053084,"5",1,"1","511"
"5637ce45d2cde8807bce101b",17,4,8.96218487394958,"5",1,"1","511"
"5641b6acd3cde84d63523da0",20,5,10.2941176470588,"5",1,"1","511"
"564fc788d4cde8ee3f4a1c1f",25,3,11.1908366582777,"5",1,"1","511"
"56584f40d2cde86404ff9b55",29,1,9.96055615385289,"5",1,"1","511"
"5658a81ed2cde834542cdc0f",23,4,9.78503696559977,"5",1,"1","511"
"56680f0ed3cde89e31bd6c89",19,4,9.53001203708581,"5",1,"1","511"
"566d6d33d2cde8dd232d0cfe",34,9,10.4605979900846,"5",1,"1","511"
"5672875ed4cde89932afe307",13,2,10.7142857142857,"5",1,"1","511"
"5672b471d2cde88e7d75142e",25,5,7.81344537815126,"5",1,"1","511"
"56766f6ad3cde82b120ccf92",23,2,11.7614525525667,"5",1,"1","511"
"56785c6bd2cde8b814f27f3c",26,5,9.16415716987772,"5",1,"1","511"
"56829ed4d4cde8730585c958",31,2,5.33508764534849,"5",1,"1","511"
"568c4c9fd4cde8235238da73",12,3,11.7226890756303,"5",1,"1","511"
"56a643a7d4cde838695f73a6",20,2,6.63230316257171,"5",1,"1","511"
"56a67da8d4cde8b4455f7346",34,3,10.1207282913165,"5",1,"1","511"
"56ae8bbbd2cde8dd17ccec00",19,7,7.37695078031212,"5",1,"1","511"
"56b70f5ad2cde81e730f0638",21,5,10.5495417158936,"5",1,"1","511"
"56c0b77fd2cde8852f16d5b0",8,3,10.7730732826697,"5",1,"1","511"
"56c82c60d4cde8771641af20",34,4,10.6029051285622,"5",1,"1","511"
"56ca3f0ad3cde8120625c3fc",22,2,6.27604324764366,"5",1,"1","511"
"56cc36d4d4cde88e2841af19",27,2,9.49045969099201,"5",1,"1","511"
"56d7f411d2cde8df168304f0",5,2,10.5042016806723,"5",1,"1","511"
"56dac82fd3cde83e48cc5615",11,3,7.5903112324831,"5",1,"1","511"
"56e07523d2cde8522f12d17a",13,2,8.93129045927226,"5",1,"1","511"
"56e12ca6d2cde8126d12d181",6,2,10.6350657025382,"5",1,"1","511"
"56e15e5dd3cde81823d6de5c",26,2,7.99945165124433,"5",1,"1","511"
"56e3f894d4cde8d012315792",20,3,11.9047619047619,"5",1,"1","511"
"56e59308d3cde81b66d6de45",24,2,7.87121187486242,"5",1,"1","511"
"56e9b70cd3cde8f940a7da57",33,2,8.01790782362718,"5",1,"1","511"
"56f55c2ed4cde89756997a4f",14,2,8.22582693914534,"5",1,"1","511"
"56f6937bd4cde89305997b63",28,1,7.46799407515463,"5",1,"1","511"
"56fa353bd4cde8280c997b51",8,1,8.85740693883975,"5",1,"1","511"
"56fd7203d4cde8a51d7969c6",4,1,8.07010303549364,"5",1,"1","511"
"57018c7fd2cde8443d803d71",5,7,10.9489795918367,"5",1,"1","511"
"570412ddd2cde8b770351cb9",29,3,8.01056925307008,"5",1,"1","511"
"5704f194d2cde8325ea6826d",5,2,0.401689747070526,"5",1,"1","511"
"5705081ad2cde88d7b626fe5",12,2,8.8441236950647,"5",1,"1","511"
"5708eb39d4cde82824d544bc",30,3,8.25684424470091,"5",1,"1","511"
